年,伝票日付,品名,区分,品番,数量,BLｺｰﾄﾞ,BLｸﾞﾙｰﾌﾟ,中分類コード,類別型式,車種,年式,車台No,型式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/11,"ﾐﾗ-ｱﾂｼ,ﾘﾔﾋﾞﾕ-,ﾚﾌﾄ(ﾚﾂ",売上,84702-73K00-ZDF,1,00976,6205,240,12635-0003,スイフト,,402840,DBA-ZC21S-VFSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/7/27,Fﾃﾞｨｽｸﾊﾟｯﾄﾞ ATE,売上,13046072162,1,05427,5425,20,,Ｚ４,,WBALL32030J081439,DBA-LL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/7/30,ｲｸﾞﾆｯｼｮﾝｺｲﾙ,売上,19500-B2051,3,00085,85,180,16986-0002,ミライース,平成24年 3月,0007811,DBA-LA300S-GBMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/14,ｲｸﾞﾆｯｼｮﾝｺｲﾙ,売上,19500-B2051,3,00085,85,180,15983-0247,ハイゼット,平成27年 4月,0250427,EBD-S321V-ZMGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/13,F/ﾊﾞﾝﾊﾟ,売上,71711-64L00-799,1,01102,1102,3000,16403-0003,アルト,,778417,DBA-HA25S-AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/4/19,ｶﾑｿﾚﾉｲﾄﾞﾊﾞﾙﾌﾞ INT,売上,6000628516,1,99999,0,0,,スパイダー,,ZAR93900007018310,93922S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/11/18,ｱﾙﾐｼﾞｬｯｷ,売上,SJ-15AL,1,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/11/28,ﾘﾝﾊﾞｰﾝﾎｰｽﾘｰﾙ,売上,SHS-210SA,1,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/8/30,SP-Gｼｰﾄﾚｰﾙ,売上,1081.335.2,1,99999,0,0,,スカイライン,,,GF-HR34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/7/5,"ﾐﾗ-ｱﾂｼ,ﾘﾔﾋﾞﾕ-,ﾗｲﾄ(ﾌﾞ",売上,84701-82K46-ZJ3,1,00975,6205,240,16033-0008,パレット,,364436,DBA-MK21S-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
